Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),CO,Ozone,PM10,PM25,NO2
01-01-2020,23,PM2.5,Hyderabad,5,22,8,23,19
01-02-2020,51,PM2.5,Hyderabad,6,21,19,51,33
01-03-2020,60,PM2.5,Hyderabad,9,6,22,60,30
01-04-2020,58,PM2.5,Hyderabad,9,24,15,58,23
01-05-2020,32,Ozone,Bangalore,3,32,3,12,25
01-06-2020,41,PM2.5,Hyderabad,6,17,14,41,28
01-07-2020,48,PM2.5,Hyderabad,9,17,18,48,38
01-08-2020,43,PM2.5,Hyderabad,6,30,13,43,26
01-09-2020,29,NO2,Hyderabad,6,28,9,23,29
01-10-2020,52,PM2.5,Hyderabad,7,17,19,52,34
01-11-2020,52,PM2.5,Hyderabad,7,33,19,52,27
01-12-2020,30,Ozone,Bangalore,3,30,10,27,7
01/13/2020,52,PM2.5,Hyderabad,3,10,16,52,19
01/14/2020,58,PM2.5,Hyderabad,6,13,18,58,21
01/15/2020,52,PM2.5,Hyderabad,9,27,14,52,30
01/16/2020,45,PM2.5,Hyderabad,10,30,11,45,26
01/17/2020,35,Ozone,Bangalore,2,35,8,21,10
01/18/2020,37,PM2.5,Hyderabad,5,28,11,37,31
01/19/2020,60,PM2.5,Hyderabad,7,31,19,60,33
01/20/2020,36,Ozone,Bangalore,2,36,7,21,19
01/21/2020,41,NO2,Bangalore,6,34,14,37,41
01/22/2020,67,PM2.5,Hyderabad,11,20,42,67,43
01/23/2020,84,PM2.5,Hyderabad,13,11,61,84,43
01/24/2020,80,PM2.5,Hyderabad,11,19,38,80,42
01/25/2020,49,PM2.5,Hyderabad,8,33,12,49,24
01/26/2020,23,PM2.5,Hyderabad,6,19,7,23,23
01/27/2020,26,PM2.5,Hyderabad,6,19,8,26,21
01/28/2020,31,Ozone,Bangalore,2,31,5,11,13
01/29/2020,38,Ozone,Bangalore,2,38,5,15,14
01/30/2020,36,NO2,Bangalore,6,30,11,31,36
01/31/2020,56,PM2.5,Hyderabad,10,23,25,56,37
02-01-2020,71,PM2.5,Hyderabad,8,18,24,71,32
02-02-2020,58,PM2.5,Hyderabad,6,31,16,58,18
02-03-2020,53,PM2.5,Hyderabad,10,18,19,53,33
02-04-2020,63,PM2.5,Hyderabad,10,22,23,63,31
02-05-2020,32,PM2.5,Bangalore,7,29,8,32,30
02-06-2020,46,PM2.5,Bangalore,3,17,9,46,22
02-07-2020,30,Ozone,Bangalore,3,30,6,24,16
02-08-2020,32,Ozone,Bangalore,2,32,6,24,18
02-09-2020,53,PM2.5,Hyderabad,3,23,12,53,24
