Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),CO,Ozone,PM10,PM25,NO2,Year,Month,Month_Name,Year-Month,Week,Day
2020-01-01,23,PM2.5,Hyderabad,5.0,22.0,8.0,23.0,19.0,2020.0,1.0,January,2020-01,1,Wednesday
2020-02-01,51,PM2.5,Hyderabad,6.0,21.0,19.0,51.0,33.0,2020.0,2.0,February,2020-02,5,Saturday
2020-03-01,60,PM2.5,Hyderabad,9.0,6.0,22.0,60.0,30.0,2020.0,3.0,March,2020-03,9,Sunday
2020-04-01,58,PM2.5,Hyderabad,9.0,24.0,15.0,58.0,23.0,2020.0,4.0,April,2020-04,14,Wednesday
2020-05-01,32,Ozone,Bangalore,3.0,32.0,3.0,12.0,25.0,2020.0,5.0,May,2020-05,18,Friday
2020-06-01,41,PM2.5,Hyderabad,6.0,17.0,14.0,41.0,28.0,2020.0,6.0,June,2020-06,23,Monday
2020-07-01,48,PM2.5,Hyderabad,9.0,17.0,18.0,48.0,38.0,2020.0,7.0,July,2020-07,27,Wednesday
2020-08-01,43,PM2.5,Hyderabad,6.0,30.0,13.0,43.0,26.0,2020.0,8.0,August,2020-08,31,Saturday
2020-09-01,29,NO2,Hyderabad,6.0,28.0,9.0,23.0,29.0,2020.0,9.0,September,2020-09,36,Tuesday
2020-10-01,52,PM2.5,Hyderabad,7.0,17.0,19.0,52.0,34.0,2020.0,10.0,October,2020-10,40,Thursday
2020-11-01,52,PM2.5,Hyderabad,7.0,33.0,19.0,52.0,27.0,2020.0,11.0,November,2020-11,44,Sunday
2020-12-01,30,Ozone,Bangalore,3.0,30.0,10.0,27.0,7.0,2020.0,12.0,December,2020-12,49,Tuesday
,52,PM2.5,Hyderabad,3.0,10.0,16.0,52.0,19.0,,,,NaT,,
,58,PM2.5,Hyderabad,6.0,13.0,18.0,58.0,21.0,,,,NaT,,
,52,PM2.5,Hyderabad,9.0,27.0,14.0,52.0,30.0,,,,NaT,,
,45,PM2.5,Hyderabad,10.0,30.0,11.0,45.0,26.0,,,,NaT,,
,35,Ozone,Bangalore,2.0,35.0,8.0,21.0,10.0,,,,NaT,,
,37,PM2.5,Hyderabad,5.0,28.0,11.0,37.0,31.0,,,,NaT,,
,60,PM2.5,Hyderabad,7.0,31.0,19.0,60.0,33.0,,,,NaT,,
,36,Ozone,Bangalore,2.0,36.0,7.0,21.0,19.0,,,,NaT,,
,41,NO2,Bangalore,6.0,34.0,14.0,37.0,41.0,,,,NaT,,
,67,PM2.5,Hyderabad,11.0,20.0,42.0,67.0,43.0,,,,NaT,,
,84,PM2.5,Hyderabad,13.0,11.0,61.0,84.0,43.0,,,,NaT,,
,80,PM2.5,Hyderabad,11.0,19.0,38.0,80.0,42.0,,,,NaT,,
,49,PM2.5,Hyderabad,8.0,33.0,12.0,49.0,24.0,,,,NaT,,
,23,PM2.5,Hyderabad,6.0,19.0,7.0,23.0,23.0,,,,NaT,,
,26,PM2.5,Hyderabad,6.0,19.0,8.0,26.0,21.0,,,,NaT,,
,31,Ozone,Bangalore,2.0,31.0,5.0,11.0,13.0,,,,NaT,,
,38,Ozone,Bangalore,2.0,38.0,5.0,15.0,14.0,,,,NaT,,
,36,NO2,Bangalore,6.0,30.0,11.0,31.0,36.0,,,,NaT,,
,56,PM2.5,Hyderabad,10.0,23.0,25.0,56.0,37.0,,,,NaT,,
2020-01-02,71,PM2.5,Hyderabad,8.0,18.0,24.0,71.0,32.0,2020.0,1.0,January,2020-01,1,Thursday
2020-02-02,58,PM2.5,Hyderabad,6.0,31.0,16.0,58.0,18.0,2020.0,2.0,February,2020-02,5,Sunday
2020-03-02,53,PM2.5,Hyderabad,10.0,18.0,19.0,53.0,33.0,2020.0,3.0,March,2020-03,10,Monday
2020-04-02,63,PM2.5,Hyderabad,10.0,22.0,23.0,63.0,31.0,2020.0,4.0,April,2020-04,14,Thursday
2020-05-02,32,PM2.5,Bangalore,7.0,29.0,8.0,32.0,30.0,2020.0,5.0,May,2020-05,18,Saturday
2020-06-02,46,PM2.5,Bangalore,3.0,17.0,9.0,46.0,22.0,2020.0,6.0,June,2020-06,23,Tuesday
2020-07-02,30,Ozone,Bangalore,3.0,30.0,6.0,24.0,16.0,2020.0,7.0,July,2020-07,27,Thursday
2020-08-02,32,Ozone,Bangalore,2.0,32.0,6.0,24.0,18.0,2020.0,8.0,August,2020-08,31,Sunday
2020-09-02,53,PM2.5,Hyderabad,3.0,23.0,12.0,53.0,24.0,2020.0,9.0,September,2020-09,36,Wednesday
2020-10-02,60,PM2.5,Hyderabad,7.0,26.0,18.0,60.0,28.0,2020.0,10.0,October,2020-10,40,Friday
2020-11-02,58,PM2.5,Hyderabad,7.0,39.00232018561485,15.0,58.0,25.0,2020.0,11.0,November,2020-11,45,Monday
2020-12-02,48,PM2.5,Hyderabad,5.0,39.00232018561485,12.0,48.0,23.0,2020.0,12.0,December,2020-12,49,Wednesday
,47,PM2.5,Hyderabad,6.0,39.00232018561485,10.0,47.0,30.0,,,,NaT,,
,24,PM2.5,Bangalore,2.0,39.00232018561485,7.0,24.0,21.0,,,,NaT,,
,30,PM2.5,Hyderabad,5.0,39.00232018561485,9.0,30.0,20.0,,,,NaT,,
,54,PM2.5,Hyderabad,7.0,39.00232018561485,16.0,54.0,29.0,,,,NaT,,
,59,PM2.5,Hyderabad,7.0,39.00232018561485,17.0,59.0,30.0,,,,NaT,,
,55,PM2.5,Hyderabad,5.0,39.00232018561485,15.0,55.0,34.0,,,,NaT,,
,37,Ozone,Bangalore,5.0,37.0,8.0,34.0,27.0,,,,NaT,,
,36,Ozone,Bangalore,2.0,36.0,8.0,21.0,19.0,,,,NaT,,
,36,Ozone,Bangalore,5.0,36.0,9.0,26.0,29.0,,,,NaT,,
,52,PM2.5,Hyderabad,8.0,39.0,16.0,52.0,42.0,,,,NaT,,
,63,PM2.5,Hyderabad,10.0,41.0,23.0,63.0,36.0,,,,NaT,,
,55,PM2.5,Bangalore,8.0,42.0,19.0,55.0,42.0,,,,NaT,,
,64,PM2.5,Bangalore,6.0,20.0,23.0,64.0,31.0,,,,NaT,,
,63,PM2.5,Hyderabad,5.0,39.0,19.0,63.0,18.0,,,,NaT,,
,38,Ozone,Bangalore,3.0,38.0,5.0,12.0,20.0,,,,NaT,,
,37,NO2,Hyderabad,5.0,36.0,8.0,25.0,37.0,,,,NaT,,
,35,Ozone,Bangalore,6.0,35.0,7.0,27.0,30.0,,,,NaT,,
2020-01-03,39,NO2,Hyderabad,5.0,38.0,7.0,27.0,39.0,2020.0,1.0,January,2020-01,1,Friday
2020-02-03,56,PM2.5,Hyderabad,7.0,46.0,21.0,56.0,37.0,2020.0,2.0,February,2020-02,6,Monday
2020-03-03,60,PM2.5,Hyderabad,6.0,43.0,21.0,60.0,29.0,2020.0,3.0,March,2020-03,10,Tuesday
2020-04-03,37,Ozone,Delhi,3.0,37.0,7.0,26.0,16.0,2020.0,4.0,April,2020-04,14,Friday
2020-05-03,36,Ozone,Visakhapatnam,5.0,36.0,6.0,22.0,30.0,2020.0,5.0,May,2020-05,18,Sunday
2020-06-03,40,Ozone,Delhi,6.0,40.0,12.0,38.0,29.0,2020.0,6.0,June,2020-06,23,Wednesday
2020-07-03,40,Ozone,Bangalore,2.0,40.0,6.0,19.0,27.0,2020.0,7.0,July,2020-07,27,Friday
2020-08-03,38,Ozone,Delhi,5.0,38.0,13.40467111534795,38.42054794520548,21.362118320610687,2020.0,8.0,August,2020-08,32,Monday
2020-09-03,52,PM2.5,Hyderabad,5.0,44.0,19.0,52.0,21.362118320610687,2020.0,9.0,September,2020-09,36,Thursday
